filename,score,cluster_id
DB00757_docking_min1.mol2,-8.1,44
DB00465_docking_min1.mol2,-7.6,44
DB01618_docking_min1.mol2,-6.1,44
DB11915_docking_min1.mol2,-5.5,44
DB00799_docking_min1.mol2,-8.1,45
DB00885_docking_min1.mol2,-8.1,46
DB01029_docking_min1.mol2,-7.3,46
DB00437_docking_min1.mol2,-6.3,46
DB01425_docking_min1.mol2,-5.7,46
DB01048_docking_min1.mol2,-8.1,47
DB00724_docking_min1.mol2,-7.4,47
DB00751_docking_min1.mol2,-7.2,47
DB09244_docking_min1.mol2,-6.2,47
DB08799_docking_min1.mol2,-6.1,47
DB00334_docking_min1.mol2,-5.9,47
DB01186_docking_min1.mol2,-5.5,47
DB04946_docking_min1.mol2,-8.1,48
DB06210_docking_min1.mol2,-8.1,49
DB01609_docking_min1.mol2,-7.4,49
DB01435_docking_min1.mol2,-6.3,49
DB00812_docking_min1.mol2,-6,49
DB03585_docking_min1.mol2,-5.9,49
DB06414_docking_min1.mol2,-8.1,50
DB06816_docking_min1.mol2,-8.1,51
DB11263_docking_min1.mol2,-8.1,52
DB12945_docking_min1.mol2,-8.1,53
DB12954_docking_min1.mol2,-8.1,54
DB00260_docking_min1.mol2,-4.7,54
DB01097_docking_min1.mol2,-8,55
DB06401_docking_min1.mol2,-8,56
DB01136_docking_min1.mol2,-7.8,56
DB06202_docking_min1.mol2,-7.5,56
DB06217_docking_min1.mol2,-6.9,56
DB00908_docking_min1.mol2,-6.2,56
DB00468_docking_min1.mol2,-6.1,56
DB06814_docking_min1.mol2,-8,57
DB07776_docking_min1.mol2,-8,58
DB08954_docking_min1.mol2,-8,59
DB00714_docking_min1.mol2,-6.8,59
DB00504_docking_min1.mol2,-6.5,59
DB00611_docking_min1.mol2,-6.1,59
DB00652_docking_min1.mol2,-6.1,59
DB06738_docking_min1.mol2,-6.1,59
DB00854_docking_min1.mol2,-6,59
DB08979_docking_min1.mol2,-8,60
DB09096_docking_min1.mol2,-8,61
DB11672_docking_min1.mol2,-8,62
DB00459_docking_min1.mol2,-7.3,62
DB00179_docking_min1.mol2,-7.2,62
DB08814_docking_min1.mol2,-7.1,62
DB00654_docking_min1.mol2,-7,62
DB11221_docking_min1.mol2,-7,62
DB11217_docking_min1.mol2,-6.7,62
DB00945_docking_min1.mol2,-6.3,62
DB00874_docking_min1.mol2,-6.1,62
DB01399_docking_min1.mol2,-6.1,62
DB09543_docking_min1.mol2,-5.7,62
DB00936_docking_min1.mol2,-5.6,62
DB11359_docking_min1.mol2,-5,62
DB11299_docking_min1.mol2,-4.7,62
DB11323_docking_min1.mol2,-4.7,62
DB14086_docking_min1.mol2,-8,63
DB01094_docking_min1.mol2,-7.9,63
DB00266_docking_min1.mol2,-7.8,63
DB00693_docking_min1.mol2,-7.4,63
DB04816_docking_min1.mol2,-7.2,63
DB00486_docking_min1.mol2,-6.8,63
DB11157_docking_min1.mol2,-6.7,63
DB12007_docking_min1.mol2,-6.4,63
DB00227_docking_min1.mol2,-6.3,63
DB00682_docking_min1.mol2,-6.2,63
DB01179_docking_min1.mol2,-6,63
DB00222_docking_min1.mol2,-7.9,64
DB01120_docking_min1.mol2,-7.9,64
DB01070_docking_min1.mol2,-7.9,65
DB00153_docking_min1.mol2,-7.3,65
DB13954_docking_min1.mol2,-7.1,65
DB00621_docking_min1.mol2,-7,65
DB00655_docking_min1.mol2,-6.8,65
DB01185_docking_min1.mol2,-6.8,65
DB02187_docking_min1.mol2,-6.8,65
DB13956_docking_min1.mol2,-6.8,65
DB00858_docking_min1.mol2,-6.7,65
DB00169_docking_min1.mol2,-6.6,65
DB09070_docking_min1.mol2,-6.6,65
DB06710_docking_min1.mol2,-6.5,65
DB13952_docking_min1.mol2,-6.5,65
DB00783_docking_min1.mol2,-6.3,65
DB01708_docking_min1.mol2,-6.3,65
DB00717_docking_min1.mol2,-6,65
DB12474_docking_min1.mol2,-6,65
DB04942_docking_min1.mol2,-7.9,66
DB06654_docking_min1.mol2,-7.9,67
DB00342_docking_min1.mol2,-7.8,68
DB01231_docking_min1.mol2,-6.9,68
DB00942_docking_min1.mol2,-6.8,68
DB00810_docking_min1.mol2,-6.5,68
DB01501_docking_min1.mol2,-6.2,68
DB09076_docking_min1.mol2,-6.1,68
DB00376_docking_min1.mol2,-5.9,68
DB00387_docking_min1.mol2,-5.7,68
DB06787_docking_min1.mol2,-5.6,68
DB00665_docking_min1.mol2,-7.8,69
DB01219_docking_min1.mol2,-7.6,69
DB00336_docking_min1.mol2,-6.5,69
DB00614_docking_min1.mol2,-6.4,69
DB00698_docking_min1.mol2,-6.4,69
DB00507_docking_min1.mol2,-5.7,69
DB00731_docking_min1.mol2,-7.8,70
DB06823_docking_min1.mol2,-4.6,70
DB00861_docking_min1.mol2,-7.8,71
DB01025_docking_min1.mol2,-7.8,72
DB00779_docking_min1.mol2,-6.9,72
DB01392_docking_min1.mol2,-6.7,72
DB00912_docking_min1.mol2,-6.5,72
DB12924_docking_min1.mol2,-6.4,72
DB00817_docking_min1.mol2,-6.2,72
DB01155_docking_min1.mol2,-6,72
DB01148_docking_min1.mol2,-7.8,73
DB01685_docking_min1.mol2,-7.8,74
DB08877_docking_min1.mol2,-7.3,74
DB05016_docking_min1.mol2,-7.8,75
DB06803_docking_min1.mol2,-7.8,76
DB01418_docking_min1.mol2,-7.4,76
DB00323_docking_min1.mol2,-6.2,76
DB00494_docking_min1.mol2,-5.2,76
DB09319_docking_min1.mol2,-7.8,77
DB01140_docking_min1.mol2,-7.4,77
DB01147_docking_min1.mol2,-7.2,77
DB01150_docking_min1.mol2,-7.2,77
DB00713_docking_min1.mol2,-7.1,77
DB01604_docking_min1.mol2,-6.7,77
DB11364_docking_min1.mol2,-6.7,77
DB00485_docking_min1.mol2,-6.6,77
DB01333_docking_min1.mol2,-6.5,77
DB01602_docking_min1.mol2,-6.5,77
DB13337_docking_min1.mol2,-6.5,77
DB00301_docking_min1.mol2,-6.4,77
DB00567_docking_min1.mol2,-6.4,77
DB00578_docking_min1.mol2,-6.4,77
DB00607_docking_min1.mol2,-6.4,77
DB00739_docking_min1.mol2,-6.4,77
DB01139_docking_min1.mol2,-6.4,77
DB00689_docking_min1.mol2,-6.3,77
DB00833_docking_min1.mol2,-6.3,77
DB00760_docking_min1.mol2,-6.2,77
DB01060_docking_min1.mol2,-6.1,77
DB09008_docking_min1.mol2,-6.1,77
DB00415_docking_min1.mol2,-6,77
DB00417_docking_min1.mol2,-6,77
DB01000_docking_min1.mol2,-6,77
DB01053_docking_min1.mol2,-6,77
DB01348_docking_min1.mol2,-5.9,77
DB01603_docking_min1.mol2,-5.9,77
DB00456_docking_min1.mol2,-5.8,77
DB01607_docking_min1.mol2,-5.6,77
DB12343_docking_min1.mol2,-5.5,77
DB01414_docking_min1.mol2,-5.4,77
DB09495_docking_min1.mol2,-7.8,78
DB11591_docking_min1.mol2,-7.8,79
DB06769_docking_min1.mol2,-5.9,79
DB11901_docking_min1.mol2,-7.8,80
DB08899_docking_min1.mol2,-6.9,80
DB12492_docking_min1.mol2,-7.8,81
DB00806_docking_min1.mol2,-7.7,82
DB13842_docking_min1.mol2,-6.9,82
DB00201_docking_min1.mol2,-6.5,82
DB09273_docking_min1.mol2,-5.4,82
DB00922_docking_min1.mol2,-7.7,83
DB00983_docking_min1.mol2,-7.7,84
DB00598_docking_min1.mol2,-7.6,84
DB01274_docking_min1.mol2,-7.1,84
DB00662_docking_min1.mol2,-7,84
DB00335_docking_min1.mol2,-6.9,84
DB11102_docking_min1.mol2,-6.9,84
DB00211_docking_min1.mol2,-6.8,84
DB01297_docking_min1.mol2,-6.8,84
DB00423_docking_min1.mol2,-6.7,84
DB01193_docking_min1.mol2,-6.6,84
DB08797_docking_min1.mol2,-5.7,84
DB01252_docking_min1.mol2,-7.7,85
DB00881_docking_min1.mol2,-7.5,85
DB09477_docking_min1.mol2,-7.3,85
DB00178_docking_min1.mol2,-6.5,85
DB00584_docking_min1.mol2,-6.5,85
DB01041_docking_min1.mol2,-6.3,85
DB00790_docking_min1.mol2,-5.7,85
DB00542_docking_min1.mol2,-5.6,85
DB00722_docking_min1.mol2,-5.6,85
DB00519_docking_min1.mol2,-5.4,85
DB01197_docking_min1.mol2,-5.3,85
DB01288_docking_min1.mol2,-7.7,86
DB01102_docking_min1.mol2,-7.5,86
DB01182_docking_min1.mol2,-7.5,86
DB01235_docking_min1.mol2,-7.3,86
DB00867_docking_min1.mol2,-7.2,86
DB00841_docking_min1.mol2,-7.1,86
DB00968_docking_min1.mol2,-7.1,86
DB08941_docking_min1.mol2,-7.1,86
DB00871_docking_min1.mol2,-7,86
DB06152_docking_min1.mol2,-6.9,86
DB00938_docking_min1.mol2,-6.8,86
DB00187_docking_min1.mol2,-6.7,86
DB00765_docking_min1.mol2,-6.7,86
DB01295_docking_min1.mol2,-6.7,86
DB06262_docking_min1.mol2,-6.7,86
DB00135_docking_min1.mol2,-6.6,86
DB00816_docking_min1.mol2,-6.6,86
DB01001_docking_min1.mol2,-6.6,86
DB01064_docking_min1.mol2,-6.6,86
DB01214_docking_min1.mol2,-6.6,86
DB01359_docking_min1.mol2,-6.6,86
DB06774_docking_min1.mol2,-6.6,86
DB00612_docking_min1.mol2,-6.5,86
DB00668_docking_min1.mol2,-6.5,86
DB06707_docking_min1.mol2,-6.5,86
DB09120_docking_min1.mol2,-6.5,86
DB13583_docking_min1.mol2,-6.3,86
DB00264_docking_min1.mol2,-6.2,86
DB00610_docking_min1.mol2,-6.2,86
DB01203_docking_min1.mol2,-6.2,86
DB12313_docking_min1.mol2,-6.2,86
DB00221_docking_min1.mol2,-6.1,86
DB00368_docking_min1.mol2,-6.1,86
DB00723_docking_min1.mol2,-6,86
DB11610_docking_min1.mol2,-6,86
DB00195_docking_min1.mol2,-5.9,86
DB00388_docking_min1.mol2,-5.9,86
DB00988_docking_min1.mol2,-5.9,86
DB11268_docking_min1.mol2,-5.9,86
DB09351_docking_min1.mol2,-5.8,86
DB00449_docking_min1.mol2,-5.6,86
DB13139_docking_min1.mol2,-5.6,86
DB00866_docking_min1.mol2,-5,86
DB01580_docking_min1.mol2,-5,86
DB04552_docking_min1.mol2,-7.7,87
DB09285_docking_min1.mol2,-7.3,87
DB09295_docking_min1.mol2,-6.4,87
DB04794_docking_min1.mol2,-7.7,88
DB01006_docking_min1.mol2,-6.3,88
DB05316_docking_min1.mol2,-7.7,89
DB01228_docking_min1.mol2,-7.3,89
DB04951_docking_min1.mol2,-6.5,89
DB00527_docking_min1.mol2,-6.4,89
DB01002_docking_min1.mol2,-5.3,89
DB00296_docking_min1.mol2,-5.2,89
DB00961_docking_min1.mol2,-5.2,89
DB00297_docking_min1.mol2,-5.1,89
DB06802_docking_min1.mol2,-7.7,90
DB06807_docking_min1.mol2,-7.7,91
DB01250_docking_min1.mol2,-7.3,91
DB07615_docking_min1.mol2,-7.3,91
DB00784_docking_min1.mol2,-6.9,91
DB09342_docking_min1.mol2,-6.9,91
DB00233_docking_min1.mol2,-6.1,91
DB00244_docking_min1.mol2,-6.1,91
DB11269_docking_min1.mol2,-6,91
DB11096_docking_min1.mol2,-5.9,91
DB08893_docking_min1.mol2,-7.7,92
DB09083_docking_min1.mol2,-7.7,93
DB00956_docking_min1.mol2,-7.3,93
DB04844_docking_min1.mol2,-5.8,93
DB11115_docking_min1.mol2,-7.7,94
DB11737_docking_min1.mol2,-7.7,95
DB00579_docking_min1.mol2,-7.6,96
DB00963_docking_min1.mol2,-7.6,97
DB06736_docking_min1.mol2,-6.5,97
DB09216_docking_min1.mol2,-6.4,97
DB08984_docking_min1.mol2,-6.1,97
DB09218_docking_min1.mol2,-6.1,97
DB01283_docking_min1.mol2,-6,97
DB00586_docking_min1.mol2,-5.9,97
DB00939_docking_min1.mol2,-5.9,97
DB01438_docking_min1.mol2,-7.6,98
DB00384_docking_min1.mol2,-7.5,98
DB00484_docking_min1.mol2,-7.2,98
DB00555_docking_min1.mol2,-7.1,98
DB08864_docking_min1.mol2,-6.5,98
DB00205_docking_min1.mol2,-6.3,98
DB06594_docking_min1.mol2,-7.6,99
DB06623_docking_min1.mol2,-7.6,100
DB04953_docking_min1.mol2,-7.4,100
DB08865_docking_min1.mol2,-7.6,101
DB08981_docking_min1.mol2,-7.6,102
DB01009_docking_min1.mol2,-7.1,102
DB09214_docking_min1.mol2,-6,102
DB09212_docking_min1.mol2,-7.6,103
DB00190_docking_min1.mol2,-7.5,104
DB00283_docking_min1.mol2,-7.5,105
DB00539_docking_min1.mol2,-6.6,105
DB09002_docking_min1.mol2,-6.6,105
DB00366_docking_min1.mol2,-5.9,105
DB00405_docking_min1.mol2,-5.7,105
DB00748_docking_min1.mol2,-5.7,105
DB01114_docking_min1.mol2,-5.7,105
DB01237_docking_min1.mol2,-5.7,105
DB08800_docking_min1.mol2,-5.7,105
DB00835_docking_min1.mol2,-5.6,105
